Entry,Pass,Range,Code,Pedigree,Site Release,Year Release,Shed GDU,Silk GDU,PLTHT (cm),EARHT (cm),Origin,Country,Section
1,1,2,GEMN-0144,MDI022:N2120-284-001,Ames,2006.0,1586,1586,267,117,Cuban Yellow,Peru,GEMN DH Parent
2,2,2,GEMN-0187,ANTIG03:N1218-056-001,Ames,2009.0,1545,1586,269,122,Criollo,Antigua,GEMN DH Parent
3,3,2,GEMN-0192,SCROGP3:N2017-172-001,Ames,2009.0,1427,1467,249,109,Tusón,St. Croix,GEMN DH Parent
4,4,2,GEMN-0246,AR01150:N0402-B-026,Ames,2014.0,1426,1480,231,94,Dentado Blanco Rugoso,Argentina,GEMN DH Parent
5,5,2,GEMN-DH-0463,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0463,,,1480,1503,241,86,,,GEMN DH Line
6,6,2,GEMN-DH-0489,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0489,,,1545,1586,244,99,,,GEMN DH Line
7,7,2,GEMN-DH-0496,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0496,,,1566,1586,213,86,,,GEMN DH Line
8,8,2,GEMN-DH-0500,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0500,,,1621,1660,221,94,,,GEMN DH Line
9,9,2,GEMN-DH-0542,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0542,,,1640,1668,198,94,,,GEMN DH Line
10,10,2,GEMN-DH-0543,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0543,,,1539,1539,218,97,,,GEMN DH Line
11,11,2,GEMN-DH-0570,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0570,,,1396,1455,262,81,,,GEMN DH Line
12,12,2,GEMN-DH-0595,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0595,,,1621,1640,290,109,,,GEMN DH Line
13,13,2,GEMN-DH-0636,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0636,,,1586,1660,224,84,,,GEMN DH Line
14,14,2,GEMN-DH-0662,GEMN-0144/GEMN-0249//GEMN-0187/GEMN-0261///GEMN-0192/GEMN-0309//GEMN-0246/GEMN-0267-(2n)-0662,,,1660,1660,239,89,,,GEMN DH Line
